qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,0.002005307391001607,{'k': 3},nqc
1037496,who is rep scalise,5.561742828694335e-07,{'k': 3},nqc
1037798,who is robert gray,0.0007672338951367411,{'k': 3},nqc
1043135,who killed nicholas ii of russia,0.0008886868171024289,{'k': 3},nqc
104861,cost of interior concrete flooring,3.6017742035321186e-05,{'k': 3},nqc
1051399,who sings monk theme song,0.0013674356707632108,{'k': 3},nqc
1063750,why did the us volunterilay enter ww1,1.700129696916366e-05,{'k': 3},nqc
1064670,why do hunters pattern their shotguns,0.00014015414942230203,{'k': 3},nqc
1071750,why is pete rose banned from hall of fame,0.00010288982312456541,{'k': 3},nqc
1103812,who formed the commonwealth of independent states,0.00045769074979929575,{'k': 3},nqc
1105792,define geon,0.00027013542725378743,{'k': 3},nqc
1106007,define visceral,3.826639233921905e-06,{'k': 3},nqc
1106979,define pareto chart in statistics,0.0003057521905569309,{'k': 3},nqc
1108651,what the best way to get clothes white,0.0012841094790942765,{'k': 3},nqc
1109707,what medium do radio waves travel through,0.0029305576984676625,{'k': 3},nqc
1110199,what is wifi vs bluetooth,0.000360298789259088,{'k': 3},nqc
1110678,what is the un fao,0.000531166639180229,{'k': 3},nqc
1112341,what is the daily life of thai people,0.00031712270082718023,{'k': 3},nqc
1113256,what is reba mcentire s net worth,4.5946230281664916e-05,{'k': 3},nqc
1113437,what is physical description of spruce,0.00013374591858167942,{'k': 3},nqc
1114646,what is famvir prescribed for,0.00023125301095142334,{'k': 3},nqc
1114819,what is durable medical equipment consist of,1.7808194412070572e-05,{'k': 3},nqc
1115210,what is chaff and flare,0.0052212122497331944,{'k': 3},nqc
1115776,what is an aml surveillance analyst,0.0012505028115011902,{'k': 3},nqc
1116380,what is a nonconformity earth science,2.4190459828013466e-05,{'k': 3},nqc
1117099,what is a active margin,0.0015494753783972517,{'k': 3},nqc
1121353,what can you do about discrimination in the workplace in oklahoma city,0.0010344347833537713,{'k': 3},nqc
