qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,311.537363330067,{'k': 2},nqc
1037496,who is rep scalise,23.350935896338573,{'k': 2},nqc
1037798,who is robert gray,0.2528470853404702,{'k': 2},nqc
1043135,who killed nicholas ii of russia,2.934851238136246,{'k': 2},nqc
104861,cost of interior concrete flooring,0.41645693366752246,{'k': 2},nqc
1051399,who sings monk theme song,0.09609888248056109,{'k': 2},nqc
1063750,why did the us volunterilay enter ww1,1.1543559036528823,{'k': 2},nqc
1064670,why do hunters pattern their shotguns,7.203307461681441,{'k': 2},nqc
1071750,why is pete rose banned from hall of fame,21.87325738450546,{'k': 2},nqc
1103812,who formed the commonwealth of independent states,0.49551964980063146,{'k': 2},nqc
1105792,define geon,3.4529197574818995,{'k': 2},nqc
1106007,define visceral,13.27637967039919,{'k': 2},nqc
1106979,define pareto chart in statistics,0.0,{'k': 2},nqc
1108651,what the best way to get clothes white,3.9746110030099584,{'k': 2},nqc
1109707,what medium do radio waves travel through,1.5417834951295102,{'k': 2},nqc
1110199,what is wifi vs bluetooth,18.45892174256239,{'k': 2},nqc
1110678,what is the un fao,56.30310205950247,{'k': 2},nqc
1112341,what is the daily life of thai people,1.935471435515279,{'k': 2},nqc
1113256,what is reba mcentire s net worth,72.24125787986092,{'k': 2},nqc
1113437,what is physical description of spruce,5.875812162387202,{'k': 2},nqc
1114646,what is famvir prescribed for,0.6810329871105266,{'k': 2},nqc
1114819,what is durable medical equipment consist of,4.2913399405962185,{'k': 2},nqc
1115210,what is chaff and flare,2.529387384532459,{'k': 2},nqc
1115776,what is an aml surveillance analyst,163.19412601887208,{'k': 2},nqc
1116380,what is a nonconformity earth science,0.07044823292444963,{'k': 2},nqc
1117099,what is a active margin,1.4218174650389537,{'k': 2},nqc
1121353,what can you do about discrimination in the workplace in oklahoma city,47.48963670948302,{'k': 2},nqc
1121402,what can contour plowing reduce,0.004979174274221397,{'k': 2},nqc
1121709,what are the three percenters,0.00025960769612930407,{'k': 2},nqc
1122767,what amino produces carnitine,43.39626889540594,{'k': 2},nqc
1124210,tracheids are part of,0.450560319978752,{'k': 2},nqc
1127540,meaning of shebang,0.39657323902087194,{'k': 2},nqc
1129237,hydrogen is a liquid below what temperature,0.0032484602657597717,{'k': 2},nqc
1131069,how many sons robert kraft has,142.46514386137682,{'k': 2},nqc
1132532,average annual income data analyst,14.33526535820069,{'k': 2},nqc
1133167,how is the weather in jamaica,12.945937138264743,{'k': 2},nqc
1133579,how does granulation tissue start,3.4783895598384844,{'k': 2},nqc
1136043,difference between a hotel and motel,14.317436127700615,{'k': 2},nqc
1136047,difference between a company s strategy and business model is,2.2013469651280606,{'k': 2},nqc
1136962,why did the ancient egyptians call their land kemet or black land,11.150363892503181,{'k': 2},nqc
118440,define bmt medical,91.4938191328067,{'k': 2},nqc
121171,define etruscans,78.43059496584284,{'k': 2},nqc
130510,definition declaratory judgment,1.6661285060365434,{'k': 2},nqc
131843,definition of a sigmet,66.66204840312432,{'k': 2},nqc
135802,definition of laudable,2.2585898092813235,{'k': 2},nqc
141630,describe how muscles and bones work together to produce movement,0.0046189590762619305,{'k': 2},nqc
146187,difference between a mcdouble and a double cheeseburger,56.10898944255058,{'k': 2},nqc
148538,difference between rn and bsn,1.0947490697091293,{'k': 2},nqc
156493,do goldfish grow,0.056770212587988006,{'k': 2},nqc
156498,do google docs auto save,54.702948263852484,{'k': 2},nqc
168216,does legionella pneumophila cause pneumonia,0.3666148398858547,{'k': 2},nqc
169208,does mississippi have an income tax,23.19287740679512,{'k': 2},nqc
174463,dog day afternoon meaning,5.274570316607305,{'k': 2},nqc
182539,example of monotonic function,2.756459682970075,{'k': 2},nqc
183378,exons definition biology,0.812312892067844,{'k': 2},nqc
19335,anthropological definition of environment,48.471972987420706,{'k': 2},nqc
207786,how are some sharks warm blooded,5.263037222380804,{'k': 2},nqc
23849,are naturalization records public information,5.168910561705234,{'k': 2},nqc
258062,how long does it take to remove wisdom tooth,39.01221758836726,{'k': 2},nqc
264014,how long is life cycle of flea,0.7651427467464794,{'k': 2},nqc
324585,how much money do motivational speakers make,78.24174024511086,{'k': 2},nqc
330975,how much would it cost to install my own wind turbine,8.306661126411978,{'k': 2},nqc
332593,how often to button quail lay eggs,248.33333317176837,{'k': 2},nqc
336901,how old is vanessa redgrave,1.1126091463454764,{'k': 2},nqc
359349,how to find the midsegment of a trapezoid,4.160007426827474,{'k': 2},nqc
390360,ia suffix meaning,56.13530387618571,{'k': 2},nqc
405163,is caffeine an narcotic,3.2072177051415083,{'k': 2},nqc
405717,is cdg airport in main paris,34.79738592836924,{'k': 2},nqc
42255,average salary for dental hygienist in nebraska,36.52166342153382,{'k': 2},nqc
443396,lps laws definition,0.38607502364288465,{'k': 2},nqc
451602,medicare s definition of mechanical ventilation,2.5241975829209085,{'k': 2},nqc
47210,average wedding dress alteration cost,0.5919172666365163,{'k': 2},nqc
47923,axon terminals or synaptic knob definition,136.59619087530382,{'k': 2},nqc
489204,right pelvic pain causes,0.25981144226908587,{'k': 2},nqc
490595,rsa definition key,0.7510718719301341,{'k': 2},nqc
527433,types of dysarthria from cerebral palsy,42.028505719338206,{'k': 2},nqc
555530,what are best foods to lower cholesterol,6.607897488461462,{'k': 2},nqc
573724,what are the social determinants of health,0.3869050205821987,{'k': 2},nqc
583468,what carvedilol used for,0.322523752559036,{'k': 2},nqc
640502,what does it mean if your tsh is low,2.1808896262660182,{'k': 2},nqc
67316,can fever cause miscarriage early pregnancy,0.011685356008425863,{'k': 2},nqc
673670,what is a alm,0.04010993360455871,{'k': 2},nqc
701453,what is a statutory deed,0.15729374083013817,{'k': 2},nqc
730539,what is chronometer who invented it,4.856606213770542,{'k': 2},nqc
768208,what is mamey,0.3794760630972218,{'k': 2},nqc
833860,what is the most popular food in switzerland,16.15077844265224,{'k': 2},nqc
855410,what is theraderm used for,0.4911597385038835,{'k': 2},nqc
87181,causes of left ventricular hypertrophy,0.028267114774755887,{'k': 2},nqc
87452,causes of military suicide,0.8937246131780775,{'k': 2},nqc
877809,what metal are hip replacements made of,0.03631996491976404,{'k': 2},nqc
911232,what type of conflict does della face in o henry the gift of the magi,45.52265163808707,{'k': 2},nqc
914916,what type of tissue are bronchioles,0.018089074573953527,{'k': 2},nqc
915593,what types of food can you cook sous vide,4.794470588569491,{'k': 2},nqc
938400,when did family feud come out,0.7214174926836746,{'k': 2},nqc
940547,when did rock n roll begin,12.188402589255423,{'k': 2},nqc
962179,when was the salvation army founded,0.25581218115103194,{'k': 2},nqc
997622,where is the show shameless filmed,0.10854077101346742,{'k': 2},nqc
1030303,who is aziz hashim,54.354218187893565,{'position': 0},maxScore
1037496,who is rep scalise,36.10284292289735,{'position': 0},maxScore
1037798,who is robert gray,30.52223599135108,{'position': 0},maxScore
1043135,who killed nicholas ii of russia,49.2502142285843,{'position': 0},maxScore
104861,cost of interior concrete flooring,40.68149438203911,{'position': 0},maxScore
1051399,who sings monk theme song,49.27569242487125,{'position': 0},maxScore
1063750,why did the us volunterilay enter ww1,30.340022354623155,{'position': 0},maxScore
1064670,why do hunters pattern their shotguns,48.44851677532251,{'position': 0},maxScore
1071750,why is pete rose banned from hall of fame,70.37404360591505,{'position': 0},maxScore
1103812,who formed the commonwealth of independent states,36.16975393105704,{'position': 0},maxScore
1105792,define geon,34.819506798529275,{'position': 0},maxScore
1106007,define visceral,28.322220712038327,{'position': 0},maxScore
1106979,define pareto chart in statistics,48.10454348157067,{'position': 0},maxScore
1108651,what the best way to get clothes white,31.78160338715615,{'position': 0},maxScore
1109707,what medium do radio waves travel through,48.356533470954815,{'position': 0},maxScore
1110199,what is wifi vs bluetooth,36.36191729441825,{'position': 0},maxScore
1110678,what is the un fao,37.08220801720414,{'position': 0},maxScore
1112341,what is the daily life of thai people,31.60658721897197,{'position': 0},maxScore
1113256,what is reba mcentire s net worth,76.86544979246943,{'position': 0},maxScore
1113437,what is physical description of spruce,29.3566355320492,{'position': 0},maxScore
1114646,what is famvir prescribed for,27.46679633118396,{'position': 0},maxScore
1114819,what is durable medical equipment consist of,44.82950017686196,{'position': 0},maxScore
1115210,what is chaff and flare,42.398410435928994,{'position': 0},maxScore
1115776,what is an aml surveillance analyst,45.67889992612589,{'position': 0},maxScore
1116380,what is a nonconformity earth science,28.809932694475357,{'position': 0},maxScore
1117099,what is a active margin,26.159181666706008,{'position': 0},maxScore
1121353,what can you do about discrimination in the workplace in oklahoma city,46.146934484371045,{'position': 0},maxScore
1121402,what can contour plowing reduce,46.92974651598839,{'position': 0},maxScore
1121709,what are the three percenters,12.18042090902756,{'position': 0},maxScore
1122767,what amino produces carnitine,44.09910364194574,{'position': 0},maxScore
1124210,tracheids are part of,29.07329404862715,{'position': 0},maxScore
1127540,meaning of shebang,31.802593277086192,{'position': 0},maxScore
1129237,hydrogen is a liquid below what temperature,32.94926010900671,{'position': 0},maxScore
1131069,how many sons robert kraft has,46.93499840895672,{'position': 0},maxScore
1132532,average annual income data analyst,38.94695172803165,{'position': 0},maxScore
1133167,how is the weather in jamaica,33.29718125375521,{'position': 0},maxScore
1133579,how does granulation tissue start,32.86091299471014,{'position': 0},maxScore
1136043,difference between a hotel and motel,45.24392979765567,{'position': 0},maxScore
1136047,difference between a company s strategy and business model is,49.13785922130323,{'position': 0},maxScore
1136962,why did the ancient egyptians call their land kemet or black land,39.1600957232331,{'position': 0},maxScore
118440,define bmt medical,34.515230168111714,{'position': 0},maxScore
121171,define etruscans,31.86684763030449,{'position': 0},maxScore
130510,definition declaratory judgment,41.16623959273336,{'position': 0},maxScore
131843,definition of a sigmet,37.37706837155565,{'position': 0},maxScore
135802,definition of laudable,37.19281935631059,{'position': 0},maxScore
141630,describe how muscles and bones work together to produce movement,40.0695423844896,{'position': 0},maxScore
146187,difference between a mcdouble and a double cheeseburger,65.21679472976926,{'position': 0},maxScore
148538,difference between rn and bsn,44.792868807909215,{'position': 0},maxScore
156493,do goldfish grow,31.156443797335484,{'position': 0},maxScore
156498,do google docs auto save,44.1541888326341,{'position': 0},maxScore
168216,does legionella pneumophila cause pneumonia,67.59011457152971,{'position': 0},maxScore
169208,does mississippi have an income tax,38.11081390961486,{'position': 0},maxScore
174463,dog day afternoon meaning,31.57160900373061,{'position': 0},maxScore
182539,example of monotonic function,41.73079963098912,{'position': 0},maxScore
183378,exons definition biology,28.58001497802455,{'position': 0},maxScore
19335,anthropological definition of environment,32.25045041042719,{'position': 0},maxScore
207786,how are some sharks warm blooded,34.676899813216494,{'position': 0},maxScore
23849,are naturalization records public information,27.73088639219588,{'position': 0},maxScore
258062,how long does it take to remove wisdom tooth,51.70231431012475,{'position': 0},maxScore
264014,how long is life cycle of flea,40.9636252642563,{'position': 0},maxScore
324585,how much money do motivational speakers make,37.21978631869336,{'position': 0},maxScore
330975,how much would it cost to install my own wind turbine,47.944311991798926,{'position': 0},maxScore
332593,how often to button quail lay eggs,57.31664648386291,{'position': 0},maxScore
