qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,0.88574195,{'position': 0},maxScore
1037496,who is rep scalise,0.8886156,{'position': 0},maxScore
1037798,who is robert gray,0.86032355,{'position': 0},maxScore
1043135,who killed nicholas ii of russia,0.8900659,{'position': 0},maxScore
104861,cost of interior concrete flooring,0.9065757,{'position': 0},maxScore
1051399,who sings monk theme song,0.90225136,{'position': 0},maxScore
1063750,why did the us volunterilay enter ww1,0.8888843,{'position': 0},maxScore
1064670,why do hunters pattern their shotguns,0.9116752,{'position': 0},maxScore
1071750,why is pete rose banned from hall of fame,0.8956197,{'position': 0},maxScore
1103812,who formed the commonwealth of independent states,0.88255537,{'position': 0},maxScore
1105792,define geon,0.9253844,{'position': 0},maxScore
1106007,define visceral,0.92711353,{'position': 0},maxScore
1106979,define pareto chart in statistics,0.92113554,{'position': 0},maxScore
1108651,what the best way to get clothes white,0.89646894,{'position': 0},maxScore
1109707,what medium do radio waves travel through,0.9162278,{'position': 0},maxScore
1110199,what is wifi vs bluetooth,0.90709746,{'position': 0},maxScore
1110678,what is the un fao,0.9131098,{'position': 0},maxScore
1112341,what is the daily life of thai people,0.879508,{'position': 0},maxScore
1113256,what is reba mcentire s net worth,0.9380017,{'position': 0},maxScore
1113437,what is physical description of spruce,0.8609891,{'position': 0},maxScore
1114646,what is famvir prescribed for,0.9104624,{'position': 0},maxScore
1114819,what is durable medical equipment consist of,0.9196477,{'position': 0},maxScore
1115210,what is chaff and flare,0.9027575,{'position': 0},maxScore
1115776,what is an aml surveillance analyst,0.8951018,{'position': 0},maxScore
1116380,what is a nonconformity earth science,0.9033421,{'position': 0},maxScore
1117099,what is a active margin,0.88716495,{'position': 0},maxScore
1121353,what can you do about discrimination in the workplace in oklahoma city,0.8774166,{'position': 0},maxScore
1121402,what can contour plowing reduce,0.91959727,{'position': 0},maxScore
1121709,what are the three percenters,0.8957261,{'position': 0},maxScore
1122767,what amino produces carnitine,0.8927201,{'position': 0},maxScore
1124210,tracheids are part of,0.8951566,{'position': 0},maxScore
1127540,meaning of shebang,0.92897654,{'position': 0},maxScore
1129237,hydrogen is a liquid below what temperature,0.91719425,{'position': 0},maxScore
1131069,how many sons robert kraft has,0.9131757,{'position': 0},maxScore
1132532,average annual income data analyst,0.89699703,{'position': 0},maxScore
1133167,how is the weather in jamaica,0.9132899,{'position': 0},maxScore
1133579,how does granulation tissue start,0.8964974,{'position': 0},maxScore
1136043,difference between a hotel and motel,0.90062004,{'position': 0},maxScore
1136047,difference between a company s strategy and business model is,0.9271732,{'position': 0},maxScore
1136962,why did the ancient egyptians call their land kemet or black land,0.930016,{'position': 0},maxScore
118440,define bmt medical,0.930367,{'position': 0},maxScore
121171,define etruscans,0.9049377,{'position': 0},maxScore
130510,definition declaratory judgment,0.93881345,{'position': 0},maxScore
131843,definition of a sigmet,0.90813214,{'position': 0},maxScore
135802,definition of laudable,0.9350034,{'position': 0},maxScore
