qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,2.385411160737451e-06,{'k': 3},nqc
1037496,who is rep scalise,2.1274307882428297e-07,{'k': 3},nqc
1037798,who is robert gray,9.612573117638646e-06,{'k': 3},nqc
1043135,who killed nicholas ii of russia,8.026195427737248e-05,{'k': 3},nqc
104861,cost of interior concrete flooring,0.00042296759134538987,{'k': 3},nqc
1051399,who sings monk theme song,7.65213013700672e-06,{'k': 3},nqc
1063750,why did the us volunterilay enter ww1,1.4498191097622605e-05,{'k': 3},nqc
1064670,why do hunters pattern their shotguns,1.7483936729343358e-06,{'k': 3},nqc
1071750,why is pete rose banned from hall of fame,6.549225478831535e-05,{'k': 3},nqc
1103812,who formed the commonwealth of independent states,0.00020199060214522133,{'k': 3},nqc
1105792,define geon,1.5641417757993656e-05,{'k': 3},nqc
1106007,define visceral,3.6796232396841357e-08,{'k': 3},nqc
1106979,define pareto chart in statistics,1.7929476588002902e-06,{'k': 3},nqc
1108651,what the best way to get clothes white,0.0014933318383634675,{'k': 3},nqc
1109707,what medium do radio waves travel through,0.0002957167915389844,{'k': 3},nqc
1110199,what is wifi vs bluetooth,0.0010252966357921327,{'k': 3},nqc
1110678,what is the un fao,0.009188508216697533,{'k': 3},nqc
1112341,what is the daily life of thai people,6.365009605545558e-06,{'k': 3},nqc
1113256,what is reba mcentire s net worth,5.470507622944323e-07,{'k': 3},nqc
1113437,what is physical description of spruce,0.0026606651442660743,{'k': 3},nqc
1114646,what is famvir prescribed for,0.005029989255353179,{'k': 3},nqc
1114819,what is durable medical equipment consist of,2.8681904594184964e-08,{'k': 3},nqc
1115210,what is chaff and flare,0.01594370610792326,{'k': 3},nqc
1115776,what is an aml surveillance analyst,0.0005908749796711695,{'k': 3},nqc
1116380,what is a nonconformity earth science,0.003855842344628118,{'k': 3},nqc
1117099,what is a active margin,2.2732704411632602e-06,{'k': 3},nqc
1121353,what can you do about discrimination in the workplace in oklahoma city,0.012946766281855907,{'k': 3},nqc
1121402,what can contour plowing reduce,1.0740085515674412e-08,{'k': 3},nqc
1121709,what are the three percenters,5.495358578211962e-05,{'k': 3},nqc
1122767,what amino produces carnitine,0.0005430890425809648,{'k': 3},nqc
1124210,tracheids are part of,0.013878664441071694,{'k': 3},nqc
1127540,meaning of shebang,4.572086106707148e-07,{'k': 3},nqc
1129237,hydrogen is a liquid below what temperature,0.0006996616201440729,{'k': 3},nqc
1131069,how many sons robert kraft has,0.016089769412479086,{'k': 3},nqc
1132532,average annual income data analyst,0.00010327566622132046,{'k': 3},nqc
1133167,how is the weather in jamaica,1.0578988443056016e-06,{'k': 3},nqc
1133579,how does granulation tissue start,3.0708345630202455e-05,{'k': 3},nqc
