qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,3.6706162711276107e-10,{'k': 2},nqc
1037496,who is rep scalise,1.5634846296369667e-07,{'k': 2},nqc
1037798,who is robert gray,7.96040530651703e-07,{'k': 2},nqc
1043135,who killed nicholas ii of russia,7.422886906541497e-07,{'k': 2},nqc
104861,cost of interior concrete flooring,0.0002466393189458305,{'k': 2},nqc
1051399,who sings monk theme song,3.999474014289326e-06,{'k': 2},nqc
1063750,why did the us volunterilay enter ww1,5.539313783152848e-07,{'k': 2},nqc
1064670,why do hunters pattern their shotguns,5.750395139715444e-07,{'k': 2},nqc
1071750,why is pete rose banned from hall of fame,5.169458610929853e-06,{'k': 2},nqc
1103812,who formed the commonwealth of independent states,0.00017755873696898372,{'k': 2},nqc
1105792,define geon,1.7543911032496812e-05,{'k': 2},nqc
1106007,define visceral,2.042318883342952e-08,{'k': 2},nqc
1106979,define pareto chart in statistics,1.7526005093751484e-06,{'k': 2},nqc
1108651,what the best way to get clothes white,0.001285736091027284,{'k': 2},nqc
1109707,what medium do radio waves travel through,0.0002284462324250828,{'k': 2},nqc
1110199,what is wifi vs bluetooth,0.0006748683181647249,{'k': 2},nqc
1110678,what is the un fao,0.005465836075072941,{'k': 2},nqc
1112341,what is the daily life of thai people,2.3549833098838728e-06,{'k': 2},nqc
1113256,what is reba mcentire s net worth,4.7198886673032266e-07,{'k': 2},nqc
1113437,what is physical description of spruce,0.002073386712196061,{'k': 2},nqc
1114646,what is famvir prescribed for,3.87261895213794e-05,{'k': 2},nqc
1114819,what is durable medical equipment consist of,1.6895885704023105e-08,{'k': 2},nqc
1115210,what is chaff and flare,0.013075174816778999,{'k': 2},nqc
1115776,what is an aml surveillance analyst,2.4689277278263416e-05,{'k': 2},nqc
1116380,what is a nonconformity earth science,0.0005936577706556159,{'k': 2},nqc
1117099,what is a active margin,2.0369492005266797e-06,{'k': 2},nqc
1121353,what can you do about discrimination in the workplace in oklahoma city,0.001147744627348808,{'k': 2},nqc
1121402,what can contour plowing reduce,1.0171113208182645e-08,{'k': 2},nqc
1121709,what are the three percenters,5.455820966077941e-05,{'k': 2},nqc
1122767,what amino produces carnitine,0.0004297025024373091,{'k': 2},nqc
1124210,tracheids are part of,0.004142488167889552,{'k': 2},nqc
1127540,meaning of shebang,3.0783674925173353e-07,{'k': 2},nqc
1129237,hydrogen is a liquid below what temperature,0.00024709427108434226,{'k': 2},nqc
1131069,how many sons robert kraft has,0.00037333681713812766,{'k': 2},nqc
1132532,average annual income data analyst,2.6743585740474233e-06,{'k': 2},nqc
1133167,how is the weather in jamaica,3.101793381350655e-07,{'k': 2},nqc
1133579,how does granulation tissue start,1.5263876909151842e-05,{'k': 2},nqc
1136043,difference between a hotel and motel,5.9587219225009155e-05,{'k': 2},nqc
1136047,difference between a company s strategy and business model is,3.7623203639421395e-05,{'k': 2},nqc
1136962,why did the ancient egyptians call their land kemet or black land,7.141707892193149e-05,{'k': 2},nqc
118440,define bmt medical,1.9972181817817414e-08,{'k': 2},nqc
121171,define etruscans,6.852409949959914e-06,{'k': 2},nqc
130510,definition declaratory judgment,7.256815017931026e-05,{'k': 2},nqc
131843,definition of a sigmet,0.0007413543876002365,{'k': 2},nqc
135802,definition of laudable,1.558427418633548e-08,{'k': 2},nqc
141630,describe how muscles and bones work together to produce movement,4.593904086243958e-07,{'k': 2},nqc
146187,difference between a mcdouble and a double cheeseburger,1.7592084895754918e-06,{'k': 2},nqc
148538,difference between rn and bsn,2.3867166058077755e-06,{'k': 2},nqc
156493,do goldfish grow,5.045531771365305e-07,{'k': 2},nqc
156498,do google docs auto save,5.422818872829059e-06,{'k': 2},nqc
168216,does legionella pneumophila cause pneumonia,1.973050962662427e-07,{'k': 2},nqc
169208,does mississippi have an income tax,9.803465677581658e-06,{'k': 2},nqc
174463,dog day afternoon meaning,0.0005126632612022825,{'k': 2},nqc
182539,example of monotonic function,1.4117923273278587e-06,{'k': 2},nqc
183378,exons definition biology,3.1359693343369645e-05,{'k': 2},nqc
19335,anthropological definition of environment,0.0024829226116216364,{'k': 2},nqc
207786,how are some sharks warm blooded,1.6820755448856047e-05,{'k': 2},nqc
23849,are naturalization records public information,8.246873214295283e-05,{'k': 2},nqc
258062,how long does it take to remove wisdom tooth,3.03186903126434e-06,{'k': 2},nqc
264014,how long is life cycle of flea,3.847199284427825e-06,{'k': 2},nqc
324585,how much money do motivational speakers make,7.234021041905317e-06,{'k': 2},nqc
330975,how much would it cost to install my own wind turbine,1.2483876579434602e-06,{'k': 2},nqc
332593,how often to button quail lay eggs,4.019751733139792e-05,{'k': 2},nqc
336901,how old is vanessa redgrave,4.71629235258234e-05,{'k': 2},nqc
359349,how to find the midsegment of a trapezoid,3.274027882186236e-08,{'k': 2},nqc
390360,ia suffix meaning,7.793695338153385e-07,{'k': 2},nqc
405163,is caffeine an narcotic,0.002525278044499582,{'k': 2},nqc
405717,is cdg airport in main paris,9.647160540903455e-05,{'k': 2},nqc
42255,average salary for dental hygienist in nebraska,7.053354742253621e-07,{'k': 2},nqc
443396,lps laws definition,0.003448303343405697,{'k': 2},nqc
451602,medicare s definition of mechanical ventilation,0.005269392226954152,{'k': 2},nqc
47210,average wedding dress alteration cost,2.724828312258502e-07,{'k': 2},nqc
47923,axon terminals or synaptic knob definition,4.5747082804757045e-07,{'k': 2},nqc
489204,right pelvic pain causes,0.002000378481417588,{'k': 2},nqc
490595,rsa definition key,0.0003260221964290051,{'k': 2},nqc
527433,types of dysarthria from cerebral palsy,0.02019524912350649,{'k': 2},nqc
555530,what are best foods to lower cholesterol,2.3785137204897383e-05,{'k': 2},nqc
573724,what are the social determinants of health,2.003983468220021e-06,{'k': 2},nqc
583468,what carvedilol used for,1.8267956999510745e-05,{'k': 2},nqc
640502,what does it mean if your tsh is low,0.00024483945421756114,{'k': 2},nqc
67316,can fever cause miscarriage early pregnancy,0.030934015757652478,{'k': 2},nqc
673670,what is a alm,0.00012254809826230115,{'k': 2},nqc
701453,what is a statutory deed,6.650840645743278e-08,{'k': 2},nqc
730539,what is chronometer who invented it,3.185635327399744e-05,{'k': 2},nqc
768208,what is mamey,0.04007473788176188,{'k': 2},nqc
833860,what is the most popular food in switzerland,2.293850982612015e-07,{'k': 2},nqc
855410,what is theraderm used for,0.007212594040239333,{'k': 2},nqc
87181,causes of left ventricular hypertrophy,1.9355286818331517e-07,{'k': 2},nqc
87452,causes of military suicide,2.8776217739224346e-05,{'k': 2},nqc
877809,what metal are hip replacements made of,2.889296431040827e-06,{'k': 2},nqc
911232,what type of conflict does della face in o henry the gift of the magi,4.114079592081103e-05,{'k': 2},nqc
914916,what type of tissue are bronchioles,1.4356531836674986e-06,{'k': 2},nqc
915593,what types of food can you cook sous vide,7.343371569058483e-07,{'k': 2},nqc
938400,when did family feud come out,5.9275222726827986e-05,{'k': 2},nqc
940547,when did rock n roll begin,5.404961581662298e-05,{'k': 2},nqc
962179,when was the salvation army founded,0.00010772845721652284,{'k': 2},nqc
997622,where is the show shameless filmed,9.124883948193001e-07,{'k': 2},nqc
1030303,who is aziz hashim,0.998086,{'position': 0},maxScore
1037496,who is rep scalise,0.995001,{'position': 0},maxScore
1037798,who is robert gray,0.995599,{'position': 0},maxScore
1043135,who killed nicholas ii of russia,0.995829,{'position': 0},maxScore
104861,cost of interior concrete flooring,0.91492,{'position': 0},maxScore
1051399,who sings monk theme song,0.99836,{'position': 0},maxScore
1063750,why did the us volunterilay enter ww1,0.99534,{'position': 0},maxScore
1064670,why do hunters pattern their shotguns,0.998852,{'position': 0},maxScore
1071750,why is pete rose banned from hall of fame,0.996507,{'position': 0},maxScore
1103812,who formed the commonwealth of independent states,0.98829,{'position': 0},maxScore
1105792,define geon,0.995909,{'position': 0},maxScore
1106007,define visceral,0.997257,{'position': 0},maxScore
1106979,define pareto chart in statistics,0.997437,{'position': 0},maxScore
1108651,what the best way to get clothes white,0.996212,{'position': 0},maxScore
1109707,what medium do radio waves travel through,0.994077,{'position': 0},maxScore
1110199,what is wifi vs bluetooth,0.968873,{'position': 0},maxScore
1110678,what is the un fao,0.96738,{'position': 0},maxScore
1112341,what is the daily life of thai people,0.996862,{'position': 0},maxScore
1113256,what is reba mcentire s net worth,0.99866,{'position': 0},maxScore
1113437,what is physical description of spruce,0.966677,{'position': 0},maxScore
1114646,what is famvir prescribed for,0.973115,{'position': 0},maxScore
1114819,what is durable medical equipment consist of,0.996992,{'position': 0},maxScore
1115210,what is chaff and flare,0.97724,{'position': 0},maxScore
1115776,what is an aml surveillance analyst,0.996536,{'position': 0},maxScore
1116380,what is a nonconformity earth science,0.975717,{'position': 0},maxScore
1117099,what is a active margin,0.993298,{'position': 0},maxScore
1121353,what can you do about discrimination in the workplace in oklahoma city,0.963311,{'position': 0},maxScore
1121402,what can contour plowing reduce,0.99657,{'position': 0},maxScore
1121709,what are the three percenters,0.0060687,{'position': 0},maxScore
1122767,what amino produces carnitine,0.986793,{'position': 0},maxScore
1124210,tracheids are part of,0.85315,{'position': 0},maxScore
1127540,meaning of shebang,0.996412,{'position': 0},maxScore
1129237,hydrogen is a liquid below what temperature,0.993451,{'position': 0},maxScore
1131069,how many sons robert kraft has,0.99579,{'position': 0},maxScore
1132532,average annual income data analyst,0.992112,{'position': 0},maxScore
1133167,how is the weather in jamaica,0.992973,{'position': 0},maxScore
1133579,how does granulation tissue start,0.996378,{'position': 0},maxScore
1136043,difference between a hotel and motel,0.991377,{'position': 0},maxScore
1136047,difference between a company s strategy and business model is,0.996795,{'position': 0},maxScore
1136962,why did the ancient egyptians call their land kemet or black land,0.995629,{'position': 0},maxScore
118440,define bmt medical,0.997874,{'position': 0},maxScore
121171,define etruscans,0.993828,{'position': 0},maxScore
130510,definition declaratory judgment,0.995957,{'position': 0},maxScore
131843,definition of a sigmet,0.99739,{'position': 0},maxScore
135802,definition of laudable,0.997402,{'position': 0},maxScore
141630,describe how muscles and bones work together to produce movement,0.981775,{'position': 0},maxScore
146187,difference between a mcdouble and a double cheeseburger,0.998094,{'position': 0},maxScore
148538,difference between rn and bsn,0.995311,{'position': 0},maxScore
156493,do goldfish grow,0.992883,{'position': 0},maxScore
156498,do google docs auto save,0.997063,{'position': 0},maxScore
168216,does legionella pneumophila cause pneumonia,0.990907,{'position': 0},maxScore
169208,does mississippi have an income tax,0.996858,{'position': 0},maxScore
174463,dog day afternoon meaning,0.995426,{'position': 0},maxScore
182539,example of monotonic function,0.996371,{'position': 0},maxScore
183378,exons definition biology,0.990711,{'position': 0},maxScore
19335,anthropological definition of environment,0.989172,{'position': 0},maxScore
207786,how are some sharks warm blooded,0.986019,{'position': 0},maxScore
23849,are naturalization records public information,0.994704,{'position': 0},maxScore
258062,how long does it take to remove wisdom tooth,0.985945,{'position': 0},maxScore
264014,how long is life cycle of flea,0.994851,{'position': 0},maxScore
324585,how much money do motivational speakers make,0.997413,{'position': 0},maxScore
330975,how much would it cost to install my own wind turbine,0.978651,{'position': 0},maxScore
332593,how often to button quail lay eggs,0.99146,{'position': 0},maxScore
336901,how old is vanessa redgrave,0.997181,{'position': 0},maxScore
359349,how to find the midsegment of a trapezoid,0.996188,{'position': 0},maxScore
390360,ia suffix meaning,0.993753,{'position': 0},maxScore
405163,is caffeine an narcotic,0.95784,{'position': 0},maxScore
