qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,0.0030148398204447834,{'k': 7},nqc
1037496,who is rep scalise,0.0004526607745250931,{'k': 7},nqc
1037798,who is robert gray,0.009119001784842942,{'k': 7},nqc
1043135,who killed nicholas ii of russia,8.74336438366683e-05,{'k': 7},nqc
104861,cost of interior concrete flooring,0.0020265149208986417,{'k': 7},nqc
1051399,who sings monk theme song,8.584763755121948e-05,{'k': 7},nqc
1063750,why did the us volunterilay enter ww1,0.07823584238304977,{'k': 7},nqc
1064670,why do hunters pattern their shotguns,0.0004143836935253426,{'k': 7},nqc
1071750,why is pete rose banned from hall of fame,0.000706450521289018,{'k': 7},nqc
1103812,who formed the commonwealth of independent states,0.003869079211064414,{'k': 7},nqc
1105792,define geon,3.801295108546826e-05,{'k': 7},nqc
1106007,define visceral,1.1774820301209082e-06,{'k': 7},nqc
1106979,define pareto chart in statistics,2.4165337846681766e-05,{'k': 7},nqc
1108651,what the best way to get clothes white,0.0028130033945139715,{'k': 7},nqc
1109707,what medium do radio waves travel through,0.0006923647062079212,{'k': 7},nqc
1110199,what is wifi vs bluetooth,0.03757964724714007,{'k': 7},nqc
1110678,what is the un fao,0.35867063278645156,{'k': 7},nqc
1112341,what is the daily life of thai people,0.07397090515104922,{'k': 7},nqc
1113256,what is reba mcentire s net worth,1.474854331916726e-06,{'k': 7},nqc
1113437,what is physical description of spruce,0.004954186366925292,{'k': 7},nqc
1114646,what is famvir prescribed for,0.44121242928936494,{'k': 7},nqc
1114819,what is durable medical equipment consist of,3.159489593558458e-05,{'k': 7},nqc
1115210,what is chaff and flare,0.014922881498053832,{'k': 7},nqc
1115776,what is an aml surveillance analyst,0.08879638042768759,{'k': 7},nqc
1116380,what is a nonconformity earth science,0.10878556574910264,{'k': 7},nqc
1117099,what is a active margin,0.00013699586624160465,{'k': 7},nqc
1121353,what can you do about discrimination in the workplace in oklahoma city,1.3653663190640104,{'k': 7},nqc
1121402,what can contour plowing reduce,1.6623981014651108e-06,{'k': 7},nqc
1121709,what are the three percenters,4.359019370576158e-05,{'k': 7},nqc
1122767,what amino produces carnitine,0.00103190703395023,{'k': 7},nqc
1124210,tracheids are part of,0.04271249265771333,{'k': 7},nqc
1127540,meaning of shebang,9.368418897933279e-05,{'k': 7},nqc
1129237,hydrogen is a liquid below what temperature,0.002625066199493635,{'k': 7},nqc
1131069,how many sons robert kraft has,0.3948465280144826,{'k': 7},nqc
1132532,average annual income data analyst,0.0005175373560294174,{'k': 7},nqc
1133167,how is the weather in jamaica,5.105283013523301e-05,{'k': 7},nqc
1133579,how does granulation tissue start,0.0001357506976280642,{'k': 7},nqc
1136043,difference between a hotel and motel,0.09959008978961142,{'k': 7},nqc
1136047,difference between a company s strategy and business model is,0.00010756861655724799,{'k': 7},nqc
1136962,why did the ancient egyptians call their land kemet or black land,6.522655481056956e-05,{'k': 7},nqc
118440,define bmt medical,0.019220586885504872,{'k': 7},nqc
121171,define etruscans,0.0017890925614703454,{'k': 7},nqc
130510,definition declaratory judgment,0.001264725333012354,{'k': 7},nqc
131843,definition of a sigmet,0.010600773056699427,{'k': 7},nqc
135802,definition of laudable,0.00871999688157346,{'k': 7},nqc
141630,describe how muscles and bones work together to produce movement,9.500355913175562e-05,{'k': 7},nqc
146187,difference between a mcdouble and a double cheeseburger,0.004216178942026479,{'k': 7},nqc
148538,difference between rn and bsn,0.004932089120112542,{'k': 7},nqc
156493,do goldfish grow,0.0005385667256708247,{'k': 7},nqc
156498,do google docs auto save,0.0001595263211347685,{'k': 7},nqc
168216,does legionella pneumophila cause pneumonia,7.836005791538652e-06,{'k': 7},nqc
169208,does mississippi have an income tax,1.7023873364770078e-05,{'k': 7},nqc
174463,dog day afternoon meaning,0.03190102460888571,{'k': 7},nqc
182539,example of monotonic function,0.004872813169765822,{'k': 7},nqc
183378,exons definition biology,0.00022714843161261402,{'k': 7},nqc
19335,anthropological definition of environment,0.02686279799385426,{'k': 7},nqc
207786,how are some sharks warm blooded,0.0018664309899811763,{'k': 7},nqc
23849,are naturalization records public information,0.4795266853905714,{'k': 7},nqc
258062,how long does it take to remove wisdom tooth,0.00031919521096082307,{'k': 7},nqc
264014,how long is life cycle of flea,1.7913230715367044e-05,{'k': 7},nqc
