qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,536.3906595761252,{'k': 6},nqc
1037496,who is rep scalise,43.917625253664376,{'k': 6},nqc
1037798,who is robert gray,30.82965115196527,{'k': 6},nqc
1043135,who killed nicholas ii of russia,51.817998266977156,{'k': 6},nqc
104861,cost of interior concrete flooring,5.9238210807699385,{'k': 6},nqc
1051399,who sings monk theme song,12.164483347564065,{'k': 6},nqc
1063750,why did the us volunterilay enter ww1,32.95819694123255,{'k': 6},nqc
1064670,why do hunters pattern their shotguns,335.59279176118264,{'k': 6},nqc
1071750,why is pete rose banned from hall of fame,209.11155415996942,{'k': 6},nqc
1103812,who formed the commonwealth of independent states,18.935457884483576,{'k': 6},nqc
1105792,define geon,13.097071781993233,{'k': 6},nqc
1106007,define visceral,24.469230189204104,{'k': 6},nqc
1106979,define pareto chart in statistics,67.90509340642264,{'k': 6},nqc
1108651,what the best way to get clothes white,76.20993389339945,{'k': 6},nqc
1109707,what medium do radio waves travel through,8.393899543124778,{'k': 6},nqc
1110199,what is wifi vs bluetooth,42.26768323663983,{'k': 6},nqc
1110678,what is the un fao,64.87723612087493,{'k': 6},nqc
1112341,what is the daily life of thai people,18.64981671176482,{'k': 6},nqc
1113256,what is reba mcentire s net worth,279.4598459801342,{'k': 6},nqc
1113437,what is physical description of spruce,37.70585515045559,{'k': 6},nqc
1114646,what is famvir prescribed for,15.047998475024613,{'k': 6},nqc
1114819,what is durable medical equipment consist of,38.29945482817815,{'k': 6},nqc
1115210,what is chaff and flare,370.4869292712055,{'k': 6},nqc
1115776,what is an aml surveillance analyst,131.64654223190522,{'k': 6},nqc
1116380,what is a nonconformity earth science,8.463310555656827,{'k': 6},nqc
1117099,what is a active margin,3.8043940373435703,{'k': 6},nqc
1121353,what can you do about discrimination in the workplace in oklahoma city,252.46514239681667,{'k': 6},nqc
1121402,what can contour plowing reduce,14.755013092659096,{'k': 6},nqc
1121709,what are the three percenters,0.03296221086150751,{'k': 6},nqc
1122767,what amino produces carnitine,55.42476529703691,{'k': 6},nqc
1124210,tracheids are part of,19.089782913420983,{'k': 6},nqc
1127540,meaning of shebang,42.99249019354743,{'k': 6},nqc
1129237,hydrogen is a liquid below what temperature,20.59363178436134,{'k': 6},nqc
1131069,how many sons robert kraft has,123.32190318705965,{'k': 6},nqc
1132532,average annual income data analyst,29.088799520515607,{'k': 6},nqc
1133167,how is the weather in jamaica,11.502176683835609,{'k': 6},nqc
1133579,how does granulation tissue start,22.85512707802558,{'k': 6},nqc
1136043,difference between a hotel and motel,190.49583781831078,{'k': 6},nqc
1136047,difference between a company s strategy and business model is,156.35098218061722,{'k': 6},nqc
1136962,why did the ancient egyptians call their land kemet or black land,16.492862864234024,{'k': 6},nqc
118440,define bmt medical,61.62812609651378,{'k': 6},nqc
121171,define etruscans,59.172199067917674,{'k': 6},nqc
130510,definition declaratory judgment,6.486924813350735,{'k': 6},nqc
131843,definition of a sigmet,151.12114962202386,{'k': 6},nqc
135802,definition of laudable,54.90557606860294,{'k': 6},nqc
141630,describe how muscles and bones work together to produce movement,2.371697601346785,{'k': 6},nqc
146187,difference between a mcdouble and a double cheeseburger,337.72443195477194,{'k': 6},nqc
148538,difference between rn and bsn,3.01445901149606,{'k': 6},nqc
156493,do goldfish grow,1.4357976917773037,{'k': 6},nqc
156498,do google docs auto save,72.9306805205854,{'k': 6},nqc
168216,does legionella pneumophila cause pneumonia,71.79299963844196,{'k': 6},nqc
169208,does mississippi have an income tax,35.88057741577223,{'k': 6},nqc
174463,dog day afternoon meaning,16.42745782693148,{'k': 6},nqc
182539,example of monotonic function,54.86967874481657,{'k': 6},nqc
183378,exons definition biology,14.50437413793517,{'k': 6},nqc
19335,anthropological definition of environment,31.348096942831894,{'k': 6},nqc
207786,how are some sharks warm blooded,15.252744360421746,{'k': 6},nqc
23849,are naturalization records public information,15.669457845703777,{'k': 6},nqc
258062,how long does it take to remove wisdom tooth,91.17674155382059,{'k': 6},nqc
264014,how long is life cycle of flea,6.397781012968157,{'k': 6},nqc
324585,how much money do motivational speakers make,93.15443111432434,{'k': 6},nqc
330975,how much would it cost to install my own wind turbine,13.618653386799263,{'k': 6},nqc
332593,how often to button quail lay eggs,200.29853327200212,{'k': 6},nqc
336901,how old is vanessa redgrave,33.56172148740982,{'k': 6},nqc
359349,how to find the midsegment of a trapezoid,41.77014737644512,{'k': 6},nqc
390360,ia suffix meaning,46.51684619902577,{'k': 6},nqc
405163,is caffeine an narcotic,15.810992093737175,{'k': 6},nqc
405717,is cdg airport in main paris,53.4148541351657,{'k': 6},nqc
42255,average salary for dental hygienist in nebraska,57.59709881064062,{'k': 6},nqc
443396,lps laws definition,9.362810596594617,{'k': 6},nqc
451602,medicare s definition of mechanical ventilation,67.44123775129788,{'k': 6},nqc
47210,average wedding dress alteration cost,4.028236265462468,{'k': 6},nqc
47923,axon terminals or synaptic knob definition,133.60406952937825,{'k': 6},nqc
489204,right pelvic pain causes,10.290448324195296,{'k': 6},nqc
490595,rsa definition key,12.867588970222954,{'k': 6},nqc
527433,types of dysarthria from cerebral palsy,56.72911391895448,{'k': 6},nqc
555530,what are best foods to lower cholesterol,31.736753493280528,{'k': 6},nqc
573724,what are the social determinants of health,5.279955634151698,{'k': 6},nqc
583468,what carvedilol used for,3.9777623048209874,{'k': 6},nqc
640502,what does it mean if your tsh is low,13.05285159696597,{'k': 6},nqc
67316,can fever cause miscarriage early pregnancy,20.402292086657287,{'k': 6},nqc
673670,what is a alm,7.095278936280887,{'k': 6},nqc
701453,what is a statutory deed,17.47328207820542,{'k': 6},nqc
730539,what is chronometer who invented it,242.874232287325,{'k': 6},nqc
768208,what is mamey,43.36491989156778,{'k': 6},nqc
833860,what is the most popular food in switzerland,29.0372277993989,{'k': 6},nqc
855410,what is theraderm used for,19.09131812032028,{'k': 6},nqc
87181,causes of left ventricular hypertrophy,23.586696744930148,{'k': 6},nqc
87452,causes of military suicide,35.96800130739565,{'k': 6},nqc
