qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,0.004441008408793616,{'k': 9},nqc
1037496,who is rep scalise,0.0003729169789836628,{'k': 9},nqc
1037798,who is robert gray,0.001286787848602604,{'k': 9},nqc
1043135,who killed nicholas ii of russia,0.0008444150391765899,{'k': 9},nqc
104861,cost of interior concrete flooring,7.632048480875425e-05,{'k': 9},nqc
1051399,who sings monk theme song,0.0038472309703124112,{'k': 9},nqc
1063750,why did the us volunterilay enter ww1,0.0005670580415221056,{'k': 9},nqc
1064670,why do hunters pattern their shotguns,0.01010456356822153,{'k': 9},nqc
1071750,why is pete rose banned from hall of fame,0.0005729805844206004,{'k': 9},nqc
1103812,who formed the commonwealth of independent states,0.0012854691887511406,{'k': 9},nqc
1105792,define geon,0.00399076118154776,{'k': 9},nqc
1106007,define visceral,0.0002715236892643987,{'k': 9},nqc
1106979,define pareto chart in statistics,0.0013075315820112305,{'k': 9},nqc
1108651,what the best way to get clothes white,0.0034182639770063816,{'k': 9},nqc
1109707,what medium do radio waves travel through,0.002137477631120921,{'k': 9},nqc
1110199,what is wifi vs bluetooth,0.0012174506184633917,{'k': 9},nqc
1110678,what is the un fao,0.005464320021597549,{'k': 9},nqc
1112341,what is the daily life of thai people,0.0010944532675382513,{'k': 9},nqc
1113256,what is reba mcentire s net worth,0.004699587154993105,{'k': 9},nqc
1113437,what is physical description of spruce,0.00017008924182585424,{'k': 9},nqc
1114646,what is famvir prescribed for,0.002165396431055199,{'k': 9},nqc
1114819,what is durable medical equipment consist of,0.0003218953988346975,{'k': 9},nqc
1115210,what is chaff and flare,0.005794771448358578,{'k': 9},nqc
1115776,what is an aml surveillance analyst,0.0022024822470535083,{'k': 9},nqc
1116380,what is a nonconformity earth science,0.0007457220112323645,{'k': 9},nqc
1117099,what is a active margin,0.0012559490786962675,{'k': 9},nqc
1121353,what can you do about discrimination in the workplace in oklahoma city,0.0019444413484234495,{'k': 9},nqc
1121402,what can contour plowing reduce,0.00014413415367057626,{'k': 9},nqc
1121709,what are the three percenters,0.002153413337172035,{'k': 9},nqc
1122767,what amino produces carnitine,0.00014227687461330267,{'k': 9},nqc
1124210,tracheids are part of,0.0008661025326788953,{'k': 9},nqc
1127540,meaning of shebang,0.0016795945112352394,{'k': 9},nqc
1129237,hydrogen is a liquid below what temperature,0.0002602666764535085,{'k': 9},nqc
1131069,how many sons robert kraft has,0.00445056393945667,{'k': 9},nqc
1132532,average annual income data analyst,3.65932289671735e-05,{'k': 9},nqc
1133167,how is the weather in jamaica,4.51831285199181e-05,{'k': 9},nqc
1133579,how does granulation tissue start,9.494181992822575e-05,{'k': 9},nqc
1136043,difference between a hotel and motel,0.0011012091202218547,{'k': 9},nqc
1136047,difference between a company s strategy and business model is,0.003232378556357086,{'k': 9},nqc
1136962,why did the ancient egyptians call their land kemet or black land,0.0014593646999657855,{'k': 9},nqc
118440,define bmt medical,0.005126787114313903,{'k': 9},nqc
