qid,query,qpp_estimate,parameters,qpp_method
1030303,who is aziz hashim,600.998826476017,{'k': 9},nqc
1037496,who is rep scalise,75.49874724931291,{'k': 9},nqc
1037798,who is robert gray,34.79537321741984,{'k': 9},nqc
1043135,who killed nicholas ii of russia,77.3556728546447,{'k': 9},nqc
104861,cost of interior concrete flooring,8.701905206220616,{'k': 9},nqc
1051399,who sings monk theme song,18.401618207949337,{'k': 9},nqc
1063750,why did the us volunterilay enter ww1,56.46571642663358,{'k': 9},nqc
1064670,why do hunters pattern their shotguns,648.7420999810131,{'k': 9},nqc
1071750,why is pete rose banned from hall of fame,245.1567733023967,{'k': 9},nqc
1103812,who formed the commonwealth of independent states,31.210198466331107,{'k': 9},nqc
1105792,define geon,71.78730201326485,{'k': 9},nqc
1106007,define visceral,29.7566329179642,{'k': 9},nqc
1106979,define pareto chart in statistics,103.71967208263084,{'k': 9},nqc
1108651,what the best way to get clothes white,102.57518299194227,{'k': 9},nqc
1109707,what medium do radio waves travel through,10.724894820567256,{'k': 9},nqc
1110199,what is wifi vs bluetooth,75.60042019104083,{'k': 9},nqc
1110678,what is the un fao,85.728826641352,{'k': 9},nqc
1112341,what is the daily life of thai people,45.00233884237522,{'k': 9},nqc
1113256,what is reba mcentire s net worth,395.5515870371359,{'k': 9},nqc
1113437,what is physical description of spruce,41.1883008678988,{'k': 9},nqc
1114646,what is famvir prescribed for,35.83082598412777,{'k': 9},nqc
1114819,what is durable medical equipment consist of,66.05641503477312,{'k': 9},nqc
1115210,what is chaff and flare,383.95297840395125,{'k': 9},nqc
1115776,what is an aml surveillance analyst,138.98904723883993,{'k': 9},nqc
1116380,what is a nonconformity earth science,9.93850139301112,{'k': 9},nqc
1117099,what is a active margin,5.476154603984534,{'k': 9},nqc
1121353,what can you do about discrimination in the workplace in oklahoma city,245.53700656333191,{'k': 9},nqc
1121402,what can contour plowing reduce,38.0992231424538,{'k': 9},nqc
1121709,what are the three percenters,0.05786024262431509,{'k': 9},nqc
1122767,what amino produces carnitine,50.972208194295256,{'k': 9},nqc
1124210,tracheids are part of,19.65224668675426,{'k': 9},nqc
1127540,meaning of shebang,76.29879128899968,{'k': 9},nqc
1129237,hydrogen is a liquid below what temperature,20.78080169671609,{'k': 9},nqc
1131069,how many sons robert kraft has,112.31556406251055,{'k': 9},nqc
1132532,average annual income data analyst,25.91348164223143,{'k': 9},nqc
1133167,how is the weather in jamaica,11.370638057583948,{'k': 9},nqc
1133579,how does granulation tissue start,25.83361126601242,{'k': 9},nqc
1136043,difference between a hotel and motel,212.9402432284356,{'k': 9},nqc
1136047,difference between a company s strategy and business model is,205.52465768674514,{'k': 9},nqc
1136962,why did the ancient egyptians call their land kemet or black land,25.597995627827277,{'k': 9},nqc
118440,define bmt medical,58.14591268403322,{'k': 9},nqc
121171,define etruscans,54.89440302563381,{'k': 9},nqc
130510,definition declaratory judgment,15.558271111778874,{'k': 9},nqc
131843,definition of a sigmet,195.92788308302704,{'k': 9},nqc
135802,definition of laudable,103.6849208332054,{'k': 9},nqc
